id,fuel,comm,shop,food,cafe
686,0,1,0,1,0
687,1,0,0,1,1
688,0,1,0,1,0
689,1,1,1,0,0
690,1,0,1,1,0
691,0,0,1,1,1
692,1,1,1,0,0
693,1,1,1,0,0
694,1,0,1,0,0
695,0,0,1,1,1
696,0,1,0,1,0
697,1,0,0,0,1
698,0,1,1,1,1
699,1,1,0,1,1
700,1,1,0,0,0
701,1,1,0,1,0
702,0,0,1,0,0
703,1,1,1,1,1
704,1,1,1,0,1
705,0,1,0,0,1
706,0,1,1,0,1
707,1,1,1,0,1
708,0,0,0,0,0
709,1,0,1,1,0
710,0,0,1,0,1
711,1,0,1,1,0
712,1,1,1,1,1
713,1,1,0,1,0
714,0,1,0,0,0
715,0,1,1,1,1
716,1,1,0,0,0
717,1,0,1,0,1
718,0,1,0,0,1
719,1,0,1,0,0
720,1,1,0,0,0
721,1,0,1,0,1
722,0,0,0,0,0
723,0,0,1,0,0
724,0,0,1,1,1
725,0,1,0,0,1
726,1,0,0,0,0
727,1,0,1,1,1
728,0,0,1,0,0
729,1,1,1,0,0
730,0,0,1,1,0
731,0,0,1,1,1
732,0,0,0,1,1
733,1,0,0,0,0
734,1,0,1,0,1
735,1,1,0,1,0
736,0,1,0,1,0
737,0,1,1,1,1
738,0,1,1,1,0
739,1,1,0,0,0
740,0,0,0,0,0
741,0,0,1,0,1
742,1,1,1,0,0
743,0,1,1,0,0
744,1,1,1,1,1
745,1,1,0,1,0
746,1,0,1,0,1
747,1,0,0,1,0
748,0,0,0,0,1
749,0,0,0,1,1
750,0,0,0,0,0
751,0,0,1,1,1
752,1,0,0,0,1
753,0,0,1,1,1
754,0,1,1,0,1
755,1,0,1,0,1
756,1,0,1,1,1
757,0,0,1,1,0
758,1,1,1,0,1
759,1,0,0,1,1
760,0,0,1,0,0
761,0,0,1,0,0
762,1,0,0,0,0
763,1,1,0,1,0
764,1,0,1,1,1
765,0,1,1,1,1
766,1,1,0,1,0
767,1,0,1,0,0
768,1,0,0,1,1
769,0,0,1,1,1
770,1,1,1,1,0
771,0,0,1,0,0
772,0,1,1,0,1
773,0,0,1,0,1
774,0,0,0,1,0
775,0,0,0,0,1
776,1,0,1,1,0
777,1,0,1,1,0
778,0,1,1,1,0
779,1,1,0,0,0
780,0,0,1,0,1
781,0,0,1,1,0
782,1,1,1,0,0
783,1,0,1,1,1
784,1,0,0,1,1
785,0,1,0,1,1
786,1,1,1,1,1
787,0,0,1,1,1
788,1,1,1,0,0
789,1,0,1,0,0
790,0,0,1,0,1
791,1,1,0,0,1
792,1,1,1,0,0
793,0,1,0,0,0
794,1,0,0,0,0
795,1,0,1,1,0
796,1,0,1,1,1
797,1,0,0,1,1
798,0,0,1,0,0
799,0,0,0,0,0
800,1,1,0,1,0
801,0,0,0,1,0
802,1,1,0,1,0
803,1,0,1,0,0
804,0,1,1,0,1
805,0,0,0,0,0
806,0,1,1,0,1
807,1,0,1,0,0
808,0,1,1,1,0
809,1,1,0,1,0
810,1,0,0,0,1
811,1,1,1,1,1
812,1,0,0,1,1
813,1,1,1,1,0
814,1,0,0,1,1
815,1,0,0,1,0
816,1,0,1,1,1
817,1,1,0,1,0
818,1,0,1,0,1
819,1,0,1,1,1
820,1,1,0,1,0
821,0,0,1,1,0
822,1,1,1,1,0
823,0,1,1,1,1
824,0,0,0,0,1
825,1,1,0,0,0
826,0,0,1,0,1
827,1,1,1,0,1
828,1,1,1,1,1
829,1,1,1,0,1
830,1,0,1,1,1
831,0,1,0,1,1
832,0,0,0,1,1
833,0,1,1,0,0
834,1,1,0,1,0
835,0,1,0,1,0
836,1,0,0,1,1
837,0,1,0,1,1
838,0,0,0,1,1
839,0,1,0,1,1
840,1,0,0,1,1
841,1,1,0,1,0
842,0,1,0,0,0
843,0,1,1,0,0
844,0,1,0,0,0
845,1,0,0,0,0
846,0,1,1,0,0
847,0,1,1,0,1
848,0,0,1,0,0
849,0,1,0,0,0
850,0,0,1,1,0
851,1,1,1,0,1
852,1,0,0,1,0
853,0,0,1,0,0
854,0,1,1,1,0
855,0,0,1,1,1
856,0,0,1,1,0
857,1,0,1,1,0
858,1,0,0,1,1
859,0,0,0,0,1
860,0,1,0,0,1
861,0,1,0,1,1
862,0,0,0,1,0
863,0,0,1,0,1
864,0,0,0,1,0
865,0,0,0,0,1
866,1,0,0,0,1
867,1,0,1,1,1
868,0,0,0,1,0
869,1,0,0,0,1
870,0,0,0,1,1
871,0,0,1,0,1
872,1,1,1,1,0
873,1,0,0,1,0
874,0,0,0,0,1
875,0,0,0,1,1
876,1,0,0,0,0
877,0,1,1,1,0
878,1,1,1,0,0
879,0,0,1,0,0
880,1,0,1,0,1
881,1,1,0,0,1
882,0,0,1,0,0
883,1,0,1,1,1
884,1,0,0,0,1
885,1,0,0,0,1
886,1,1,0,0,1
887,0,1,0,0,0
888,0,1,1,1,1
889,1,0,0,0,0
890,1,1,1,0,0
891,1,0,0,1,0
892,1,0,1,0,1
893,0,1,1,1,0
894,0,0,0,0,0
895,1,0,0,0,0
896,1,0,1,1,1
897,0,0,1,0,1
898,1,1,0,0,0
899,0,0,1,0,1
900,0,0,1,0,0
901,1,1,0,1,1
902,1,0,0,0,1
903,0,0,1,0,0
904,1,1,0,0,1
905,0,0,0,0,0
906,1,1,0,0,0
907,0,0,1,0,0
908,1,0,0,0,1
909,1,0,0,0,1
910,0,0,0,1,0
911,1,0,1,1,1
912,1,1,1,1,1
913,1,0,0,0,0
914,1,1,0,1,1
915,1,0,1,1,1
916,0,1,0,1,1
917,0,1,0,0,1
918,1,1,0,0,1
919,0,0,1,0,1
920,1,0,1,1,0
921,1,0,0,1,1
922,1,0,1,1,0
923,1,0,0,0,1
924,1,1,1,1,0
925,0,1,0,1,1
926,0,0,1,1,1
927,1,1,0,1,1
928,1,1,0,1,1
929,0,0,0,1,0
930,1,0,0,0,0
931,1,1,1,0,1
932,0,0,0,0,1
933,0,0,1,1,0
934,1,1,1,0,0
935,0,1,0,0,1
936,0,1,0,0,0
937,1,1,1,0,0
938,0,0,1,1,0
939,0,0,0,1,0
940,0,1,0,0,1
941,1,0,1,0,0
942,0,1,1,1,0
943,0,1,1,0,1
944,0,0,1,1,1
945,1,1,1,0,0
946,0,0,1,0,0
947,1,1,1,0,0
948,0,0,1,1,0
949,1,1,1,0,1
950,0,0,0,1,1
951,0,1,0,0,0
952,0,1,1,1,0
953,1,0,0,0,1
954,0,0,1,0,0
955,0,1,0,0,1
956,0,0,1,0,0
957,1,1,0,1,0
958,1,1,0,1,0
959,0,0,0,0,1
960,1,1,1,0,0
961,0,0,0,0,0
962,1,1,1,1,1
963,1,0,1,0,1
964,1,0,0,0,1
965,1,0,1,1,0
966,0,1,1,1,0
967,1,0,0,1,1
968,0,0,1,0,1
969,0,0,0,1,0
970,1,0,0,0,1
971,1,0,0,1,0
972,1,1,0,0,1
973,0,0,0,1,0
974,1,0,0,1,0
975,0,0,0,1,1
976,1,1,1,0,1
977,1,1,0,0,0
978,1,0,0,1,1
979,0,0,1,1,1
980,1,0,0,0,1
981,0,0,0,1,1
982,0,1,0,1,0
983,1,0,1,1,1
984,1,0,1,0,1
985,0,0,1,1,0
986,1,1,0,1,0
987,1,1,1,0,0
988,0,0,1,0,0
989,1,0,1,1,0
990,1,1,1,1,1
991,1,1,1,0,0
992,0,0,0,0,0
993,1,1,1,1,1
994,1,0,1,1,1
995,1,0,0,1,1
996,1,1,1,0,1
997,0,1,0,0,0
998,1,1,0,0,0
999,1,0,0,0,0
1000,0,0,1,1,1
1001,1,1,0,0,0
1002,0,1,0,1,1
1003,1,1,1,0,1
1004,0,1,1,1,0
1005,0,0,0,1,1
1006,0,1,0,1,1
1007,1,0,1,0,1
1008,0,0,1,1,0
1009,1,0,1,1,0
1010,1,0,1,1,1
1011,1,1,0,1,0
1012,1,1,0,1,1
1013,0,0,0,1,0
1014,1,0,1,1,1
1015,0,1,0,0,1
1016,0,1,1,1,1
1017,1,1,0,1,0
1018,1,0,0,1,1
1019,1,0,1,0,0
1020,1,0,0,1,0
1021,1,0,1,0,0
1022,1,1,1,1,0
1023,1,0,0,1,0
1024,1,0,1,1,0
1025,0,1,1,0,1
1026,0,0,0,0,0
1027,0,0,1,1,1
1028,1,1,1,0,1
1029,1,1,1,1,1
1030,0,0,0,0,1
1031,0,0,0,0,1
1032,0,0,1,1,1
1033,1,0,0,1,1
1034,0,0,0,1,1
1035,0,0,0,0,1
1036,0,0,0,0,0
1037,1,0,0,0,0
1038,0,0,0,0,0
1039,0,0,1,1,1
1040,0,1,1,0,0
1041,1,0,0,0,1
1042,1,0,1,1,0
1043,0,0,1,1,1
1044,1,0,0,1,1
1045,0,1,0,0,0
1046,0,0,1,1,0
1047,1,0,0,0,0
1048,1,0,0,0,0
1049,1,1,0,1,0
1050,1,0,1,0,1
1051,1,0,0,0,1
1052,0,1,1,0,1
1053,0,1,0,1,0
1054,1,0,1,1,1
1055,1,1,0,1,1
1056,0,1,0,1,1
1057,1,0,0,0,0
1058,0,0,0,1,0
1059,0,1,0,1,1
1060,1,1,1,1,1
1061,1,1,1,1,0
1062,0,1,1,1,1
1063,1,0,1,0,1
1064,1,1,0,0,1
1065,0,1,0,1,0
1066,0,0,1,0,1
1067,0,0,1,1,1
1068,0,0,1,0,0
1069,1,0,1,1,0
1070,1,0,0,1,0
1071,0,0,1,0,1
1072,1,1,1,1,0
1073,1,1,1,1,1
1074,0,1,1,1,0
1075,1,0,0,1,0
1076,0,0,0,1,1
1077,0,0,0,1,1
1078,0,1,1,0,0
1079,1,1,1,0,1
1080,1,0,0,1,1
1081,1,1,0,1,1
1082,1,0,1,0,1
1083,0,1,0,1,0
1084,1,0,0,1,1
1085,1,1,1,1,1
1086,0,1,1,0,1
1087,1,1,0,1,0
1088,0,0,1,0,1
1089,0,1,1,1,0
1090,1,0,0,1,0
1091,0,0,1,0,1
1092,1,0,1,0,0
1093,0,1,0,0,1
1094,1,1,0,1,0
1095,1,0,0,1,0
1096,1,1,0,0,0
1097,1,0,0,1,0
1098,0,1,0,1,0
1099,1,1,0,0,1
1100,1,1,1,1,0
1101,0,1,0,1,1
1102,0,1,0,0,0
1103,1,0,0,0,1
1104,1,0,1,1,1
1105,1,1,0,0,1
1106,1,0,0,1,1
1107,0,1,0,1,1
1108,1,0,1,0,1
1109,1,0,0,0,0
1110,0,1,1,1,1
1111,1,0,1,1,0
1112,1,1,0,1,0
1113,0,0,1,0,1
1114,0,1,0,1,1
1115,1,1,1,0,1
1116,1,1,0,1,1
1117,0,0,0,0,1
1118,0,0,0,0,1
1119,1,1,0,0,0
1120,1,0,1,1,0
1121,1,1,1,1,0
1122,1,1,0,1,1
1123,1,0,1,1,1
1124,0,0,1,0,0
1125,1,0,1,0,1
1126,1,1,0,0,0
1127,0,1,1,0,1
1128,1,0,0,1,1
1129,1,1,0,1,1
1130,0,0,1,0,0
1131,0,1,0,1,0
1132,0,1,0,0,0
1133,1,1,0,0,1
1134,1,1,0,0,0
1135,1,0,0,0,0
1136,1,0,1,1,0
1137,1,1,1,0,1
1138,0,0,1,1,0
1139,0,0,1,0,0
1140,0,0,1,1,1
1141,0,1,1,0,0
1142,0,0,0,0,1
1143,1,0,1,1,1
1144,0,0,0,1,0
1145,1,1,1,0,1
1146,0,1,1,0,1
1147,0,0,1,1,1
1148,0,0,1,1,1
1149,0,1,1,0,0
1150,1,0,0,1,1
1151,0,0,0,0,0
