id,name,cate,corp,renamecardimage,cardimage,pre,discontinue,sharestate,annual
17,신한카드 YOLO Tasty,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/17/card_img/20099/17card.png,https://api.card-gorilla.com:8080/storage/card/17/card_img/20099/17card.png,30,0,1,0
18,신한카드 Shopping,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/18/card_img/20100/18card.png,https://api.card-gorilla.com:8080/storage/card/18/card_img/20100/18card.png,40,0,1,2
19,신한카드 O2O,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/19/card_img/20101/19card.png,https://api.card-gorilla.com:8080/storage/card/19/card_img/20101/19card.png,17,0,1,0
20,신한카드 Simple Platinum#,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/21/card_img/20103/21card.png,https://api.card-gorilla.com:8080/storage/card/21/card_img/20103/21card.png,40,0,1,4
21,카카오페이 신한카드,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/22/card_img/20104/22card.png,https://api.card-gorilla.com:8080/storage/card/22/card_img/20104/22card.png,44,0,1,10
22,신한카드 Always FAN,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/23/card_img/20105/23card.png,https://api.card-gorilla.com:8080/storage/card/23/card_img/20105/23card.png,21,0,1,10
23,EDIYA 신한카드 Tasty,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/24/card_img/20106/24card.png,https://api.card-gorilla.com:8080/storage/card/24/card_img/20106/24card.png,45,0,1,6
24,신한카드 Noon,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/25/card_img/20107/25card.png,https://api.card-gorilla.com:8080/storage/card/25/card_img/20107/25card.png,50,0,1,3
25,신한카드 Edu,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/26/card_img/20108/26card.png,https://api.card-gorilla.com:8080/storage/card/26/card_img/20108/26card.png,31,0,1,7
26,아시아나 신한카드 Air 1.5,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/27/card_img/25865/27card.png,https://api.card-gorilla.com:8080/storage/card/27/card_img/25865/27card.png,41,0,1,2
27,신세계 신한카드,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/28/card_img/20110/28card.png,https://api.card-gorilla.com:8080/storage/card/28/card_img/20110/28card.png,17,0,1,0
28,TLX PASS 신한카드,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/29/card_img/20111/29card.png,https://api.card-gorilla.com:8080/storage/card/29/card_img/20111/29card.png,20,0,1,3
29,모바일 Tmoney 신한카드,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/30/card_img/20112/30card.png,https://api.card-gorilla.com:8080/storage/card/30/card_img/20112/30card.png,13,0,1,7
30,신한카드 All Pass,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/31/card_img/20113/31card.png,https://api.card-gorilla.com:8080/storage/card/31/card_img/20113/31card.png,49,0,1,4
31,신한카드 Deep Dream,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/32/card_img/20114/32card.png,https://api.card-gorilla.com:8080/storage/card/32/card_img/20114/32card.png,23,0,1,3
32,신한카드 The CLASSIC-L,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/33/card_img/20115/33card.png,https://api.card-gorilla.com:8080/storage/card/33/card_img/20115/33card.png,8,0,1,10
33,GS칼텍스 신한카드 Shine,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/35/card_img/20117/35card.png,https://api.card-gorilla.com:8080/storage/card/35/card_img/20117/35card.png,20,0,1,9
34,신한카드 Cube Platinum#,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/36/card_img/23899/36card.png,https://api.card-gorilla.com:8080/storage/card/36/card_img/23899/36card.png,5,0,1,2
35,신한카드 The BEST-F,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/37/card_img/20118/37card.png,https://api.card-gorilla.com:8080/storage/card/37/card_img/20118/37card.png,46,0,1,9
36,신한카드 Lesson Platinum#,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/38/card_img/20119/38card.jpg,https://api.card-gorilla.com:8080/storage/card/38/card_img/20119/38card.jpg,20,0,1,3
37,신한카드 Deep Oil,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/39/card_img/20120/39card.png,https://api.card-gorilla.com:8080/storage/card/39/card_img/20120/39card.png,14,0,1,6
38,신한카드 Deep Dream Platinum+,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/40/card_img/20121/40card.png,https://api.card-gorilla.com:8080/storage/card/40/card_img/20121/40card.png,44,0,1,0
39,신한카드 Deep On Platinum+,CHK,신한카드,https://api.card-gorilla.com:8080/storage/card/41/card_img/20122/41card.png,https://api.card-gorilla.com:8080/storage/card/41/card_img/20122/41card.png,47,0,1,1
40,SOCAR 제휴 SOCAR 신한카드,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/42/card_img/20123/42card.png,https://api.card-gorilla.com:8080/storage/card/42/card_img/20123/42card.png,25,0,1,2
41,신한카드 Deep Store,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/43/card_img/20124/43card.png,https://api.card-gorilla.com:8080/storage/card/43/card_img/20124/43card.png,24,0,1,2
42,위메프페이 신한카드,CRD,신한카드,https://api.card-gorilla.com:8080/storage/card/44/card_img/20125/44card.png,https://api.card-gorilla.com:8080/storage/card/44/card_img/20125/44card.png,23,0,1,5
43,American Express Blue(아멕스블루),CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/45/card_img/20126/45card.png,https://api.card-gorilla.com:8080/storage/card/45/card_img/20126/45card.png,50,0,1,2
44,삼성카앤모아카드,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/46/card_img/20127/46card.png,https://api.card-gorilla.com:8080/storage/card/46/card_img/20127/46card.png,8,0,1,8
45,삼성카드4,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/47/card_img/20128/47card.png,https://api.card-gorilla.com:8080/storage/card/47/card_img/20128/47card.png,11,0,1,6
46,국민행복 삼성카드,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/48/card_img/20129/48card.png,https://api.card-gorilla.com:8080/storage/card/48/card_img/20129/48card.png,50,0,1,10
47,삼성카드 & MILEAGE PLATINUM (스카이패스),CHK,삼성카드,https://api.card-gorilla.com:8080/storage/card/49/card_img/24313/49card.png,https://api.card-gorilla.com:8080/storage/card/49/card_img/24313/49card.png,45,0,1,0
48,아시아나 삼성지엔미플래티늄카드,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/50/card_img/20131/50card.png,https://api.card-gorilla.com:8080/storage/card/50/card_img/20131/50card.png,25,0,1,4
49,삼성카드 taptap O,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/51/card_img/20132/51card.png,https://api.card-gorilla.com:8080/storage/card/51/card_img/20132/51card.png,29,0,1,7
50,삼성카드 taptap S,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/52/card_img/20133/52card.png,https://api.card-gorilla.com:8080/storage/card/52/card_img/20133/52card.png,27,0,1,5
51,아시아나 삼성애니패스플래티늄카드,CHK,삼성카드,https://api.card-gorilla.com:8080/storage/card/53/card_img/20134/53card.png,https://api.card-gorilla.com:8080/storage/card/53/card_img/20134/53card.png,34,0,1,4
52,삼성카드 스페셜마일리지 (스카이패스),CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/54/card_img/20135/54card.png,https://api.card-gorilla.com:8080/storage/card/54/card_img/20135/54card.png,42,0,1,8
53,CU·배달의민족 삼성카드 taptap,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/55/card_img/20136/55card.png,https://api.card-gorilla.com:8080/storage/card/55/card_img/20136/55card.png,50,0,1,10
54,삼성카드 지엔미+,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/56/card_img/20137/56card.png,https://api.card-gorilla.com:8080/storage/card/56/card_img/20137/56card.png,20,0,1,7
55,삼성카드 애니패스+,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/57/card_img/20138/57card.png,https://api.card-gorilla.com:8080/storage/card/57/card_img/20138/57card.png,42,0,1,3
56,카라이프 삼성카드 DISCOUNT+,CHK,삼성카드,https://api.card-gorilla.com:8080/storage/card/58/card_img/20139/58card.png,https://api.card-gorilla.com:8080/storage/card/58/card_img/20139/58card.png,24,0,1,7
57,삼성카드 taptap I,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/59/card_img/20141/59card.png,https://api.card-gorilla.com:8080/storage/card/59/card_img/20141/59card.png,0,0,1,4
58,American Express Green,CHK,삼성카드,https://api.card-gorilla.com:8080/storage/card/60/card_img/20142/60card.png,https://api.card-gorilla.com:8080/storage/card/60/card_img/20142/60card.png,46,0,1,8
59,스카이패스 삼성아멕스카드,CHK,삼성카드,https://api.card-gorilla.com:8080/storage/card/61/card_img/20143/61card.png,https://api.card-gorilla.com:8080/storage/card/61/card_img/20143/61card.png,5,0,1,2
60,글로벌쇼핑 삼성카드 5v2,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/62/card_img/20144/62card.png,https://api.card-gorilla.com:8080/storage/card/62/card_img/20144/62card.png,23,0,1,5
61,삼성페이 삼성카드 taptap,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/63/card_img/20145/63card.png,https://api.card-gorilla.com:8080/storage/card/63/card_img/20145/63card.png,36,0,1,1
62,신세계이마트 삼성카드7,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/64/card_img/20146/64card.png,https://api.card-gorilla.com:8080/storage/card/64/card_img/20146/64card.png,13,0,1,5
63,삼성카드 2V3(아지냥이 Edition),CHK,삼성카드,https://api.card-gorilla.com:8080/storage/card/65/card_img/20147/65card.png,https://api.card-gorilla.com:8080/storage/card/65/card_img/20147/65card.png,23,0,1,10
64,삼성카드 6V3,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/66/card_img/20148/66card.png,https://api.card-gorilla.com:8080/storage/card/66/card_img/20148/66card.png,15,0,1,8
65,삼성카드 3V3(GS칼텍스),CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/67/card_img/20149/67card.png,https://api.card-gorilla.com:8080/storage/card/67/card_img/20149/67card.png,44,0,1,8
66,삼성카드 3V3(SK에너지),CHK,삼성카드,https://api.card-gorilla.com:8080/storage/card/68/card_img/20150/68card.png,https://api.card-gorilla.com:8080/storage/card/68/card_img/20150/68card.png,30,0,1,1
67,삼성카드 4V3(포인트),CHK,삼성카드,https://api.card-gorilla.com:8080/storage/card/69/card_img/20151/69card.png,https://api.card-gorilla.com:8080/storage/card/69/card_img/20151/69card.png,23,0,1,0
68,삼성카드 5V3,CHK,삼성카드,https://api.card-gorilla.com:8080/storage/card/70/card_img/20152/70card.png,https://api.card-gorilla.com:8080/storage/card/70/card_img/20152/70card.png,2,0,1,8
69,삼성카드 4V3,CHK,삼성카드,https://api.card-gorilla.com:8080/storage/card/71/card_img/20153/71card.png,https://api.card-gorilla.com:8080/storage/card/71/card_img/20153/71card.png,9,0,1,7
70,트레이더스신세계 삼성카드,CRD,삼성카드,https://api.card-gorilla.com:8080/storage/card/72/card_img/27079/0072card.png,https://api.card-gorilla.com:8080/storage/card/72/card_img/27079/0072card.png,2,0,1,8
71,카드의정석 NEW우리V카드,CRD,우리카드,https://api.card-gorilla.com:8080/storage/card/73/card_img/20155/73card.png,https://api.card-gorilla.com:8080/storage/card/73/card_img/20155/73card.png,50,0,1,10
72,All For Me카드,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/74/card_img/20156/74card.png,https://api.card-gorilla.com:8080/storage/card/74/card_img/20156/74card.png,3,0,1,9
73,KT 카드의정석 Super DC,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/75/card_img/20157/75card.png,https://api.card-gorilla.com:8080/storage/card/75/card_img/20157/75card.png,17,0,1,5
74,LGU+ 카드의정석 장기할부,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/76/card_img/20158/76card.png,https://api.card-gorilla.com:8080/storage/card/76/card_img/20158/76card.png,36,0,1,10
75,위비멤버스카드,CRD,우리카드,https://api.card-gorilla.com:8080/storage/card/77/card_img/20159/77card.png,https://api.card-gorilla.com:8080/storage/card/77/card_img/20159/77card.png,32,0,1,1
76,블루다이아몬드Ⅱ 카드,CRD,우리카드,https://api.card-gorilla.com:8080/storage/card/78/card_img/20160/78card.png,https://api.card-gorilla.com:8080/storage/card/78/card_img/20160/78card.png,1,0,1,10
77,그랑블루Ⅱ카드,CRD,우리카드,https://api.card-gorilla.com:8080/storage/card/79/card_img/20161/79card.png,https://api.card-gorilla.com:8080/storage/card/79/card_img/20161/79card.png,39,0,1,0
78,썸(SUM) 페이 카드,CRD,우리카드,https://api.card-gorilla.com:8080/storage/card/80/card_img/20162/80card.png,https://api.card-gorilla.com:8080/storage/card/80/card_img/20162/80card.png,18,0,1,2
79,위메프 우리카드,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/81/card_img/20163/81card.png,https://api.card-gorilla.com:8080/storage/card/81/card_img/20163/81card.png,43,0,1,9
80,우리 XGOLF 카드,CRD,우리카드,https://api.card-gorilla.com:8080/storage/card/82/card_img/20164/82card.png,https://api.card-gorilla.com:8080/storage/card/82/card_img/20164/82card.png,49,0,1,10
81,ONLY 나만의카드,CRD,우리카드,https://api.card-gorilla.com:8080/storage/card/83/card_img/20165/83card.png,https://api.card-gorilla.com:8080/storage/card/83/card_img/20165/83card.png,28,0,1,6
82,카드의정석 POINT,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/84/card_img/20166/84card.png,https://api.card-gorilla.com:8080/storage/card/84/card_img/20166/84card.png,35,0,1,3
83,카드의정석 SHOPPING,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/85/card_img/20167/85card.png,https://api.card-gorilla.com:8080/storage/card/85/card_img/20167/85card.png,25,0,1,8
84,카드의정석 DISCOUNT,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/86/card_img/20168/86card.png,https://api.card-gorilla.com:8080/storage/card/86/card_img/20168/86card.png,45,0,1,7
85,DA@카드의정석,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/87/card_img/20239/87card.png,https://api.card-gorilla.com:8080/storage/card/87/card_img/20239/87card.png,36,0,1,7
86,D4@카드의정석,CRD,우리카드,https://api.card-gorilla.com:8080/storage/card/88/card_img/20241/88card.png,https://api.card-gorilla.com:8080/storage/card/88/card_img/20241/88card.png,37,0,1,2
87,우리Most카드,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/89/card_img/20242/89card.png,https://api.card-gorilla.com:8080/storage/card/89/card_img/20242/89card.png,29,0,1,5
88,카드의정석 위비온 플러스,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/90/card_img/20243/90card.png,https://api.card-gorilla.com:8080/storage/card/90/card_img/20243/90card.png,50,0,1,8
89,카드의정석 PREMIUM POINT,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/91/card_img/20245/91card.png,https://api.card-gorilla.com:8080/storage/card/91/card_img/20245/91card.png,19,0,1,10
90,카드의정석 PREMIUM MILEAGE(SKYPASS),CRD,우리카드,https://api.card-gorilla.com:8080/storage/card/92/card_img/20246/92card.png,https://api.card-gorilla.com:8080/storage/card/92/card_img/20246/92card.png,17,0,1,2
91,카드의정석 PREMIUM MILEAGE(AsianaClub),CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/93/card_img/20247/93card.png,https://api.card-gorilla.com:8080/storage/card/93/card_img/20247/93card.png,3,0,1,4
92,LoL CHAMPIONS KOREA 우리카드,CHK,우리카드,https://api.card-gorilla.com:8080/storage/card/94/card_img/20248/94card.png,https://api.card-gorilla.com:8080/storage/card/94/card_img/20248/94card.png,1,0,1,5
93,갤러리아 씨티카드 프레스티지,CRD,씨티카드,https://api.card-gorilla.com:8080/storage/card/95/card_img/20250/95card.png,https://api.card-gorilla.com:8080/storage/card/95/card_img/20250/95card.png,1,0,1,9
94,씨티 리워드,CRD,씨티카드,https://api.card-gorilla.com:8080/storage/card/96/card_img/20251/96card.png,https://api.card-gorilla.com:8080/storage/card/96/card_img/20251/96card.png,0,0,1,3
95,신세계 씨티 리워드,CRD,씨티카드,https://api.card-gorilla.com:8080/storage/card/97/card_img/20253/97card.png,https://api.card-gorilla.com:8080/storage/card/97/card_img/20253/97card.png,18,0,1,6
96,신세계 씨티카드 콰트로,CHK,씨티카드,https://api.card-gorilla.com:8080/storage/card/98/card_img/20254/98card.png,https://api.card-gorilla.com:8080/storage/card/98/card_img/20254/98card.png,31,0,1,7
97,신세계 씨티 플래티늄 아시아나,CRD,씨티카드,https://api.card-gorilla.com:8080/storage/card/99/card_img/20256/99card.png,https://api.card-gorilla.com:8080/storage/card/99/card_img/20256/99card.png,49,0,1,10
98,씨티 NEW 캐시백,CHK,씨티카드,https://api.card-gorilla.com:8080/storage/card/100/card_img/20257/100card.png,https://api.card-gorilla.com:8080/storage/card/100/card_img/20257/100card.png,5,0,1,9
99,NEW 씨티 클리어,CHK,씨티카드,https://api.card-gorilla.com:8080/storage/card/101/card_img/20258/101card.png,https://api.card-gorilla.com:8080/storage/card/101/card_img/20258/101card.png,33,0,1,7
100,씨티 NEW 프리미어마일 대한항공,CHK,씨티카드,https://api.card-gorilla.com:8080/storage/card/102/card_img/20260/102card.png,https://api.card-gorilla.com:8080/storage/card/102/card_img/20260/102card.png,0,0,1,9
101,씨티 NEW 프리미어마일 아시아나,CRD,씨티카드,https://api.card-gorilla.com:8080/storage/card/103/card_img/20261/103card.png,https://api.card-gorilla.com:8080/storage/card/103/card_img/20261/103card.png,15,0,1,5
102,대백 씨티카드 아인스,CRD,씨티카드,https://api.card-gorilla.com:8080/storage/card/104/card_img/20262/104card.png,https://api.card-gorilla.com:8080/storage/card/104/card_img/20262/104card.png,19,0,1,1
103,이마트 KB국민카드,CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/105/card_img/20263/105card.png,https://api.card-gorilla.com:8080/storage/card/105/card_img/20263/105card.png,23,0,1,4
104,굿데이카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/106/card_img/20264/106card.png,https://api.card-gorilla.com:8080/storage/card/106/card_img/20264/106card.png,35,0,1,4
105,SK LPG SAVE KB국민카드,CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/107/card_img/20265/107card.png,https://api.card-gorilla.com:8080/storage/card/107/card_img/20265/107card.png,17,0,1,1
106,와이즈카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/108/card_img/20266/108card.png,https://api.card-gorilla.com:8080/storage/card/108/card_img/20266/108card.png,10,0,1,5
107,SK에너지 러브유 KB국민카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/109/card_img/20267/109card.png,https://api.card-gorilla.com:8080/storage/card/109/card_img/20267/109card.png,21,0,1,9
108,서울도시가스 KB국민카드,CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/110/card_img/20268/110card.png,https://api.card-gorilla.com:8080/storage/card/110/card_img/20268/110card.png,50,0,1,6
109,혜담Ⅱ카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/111/card_img/20269/111card.png,https://api.card-gorilla.com:8080/storage/card/111/card_img/20269/111card.png,47,0,1,0
110,GS행복가득카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/112/card_img/20270/112card.png,https://api.card-gorilla.com:8080/storage/card/112/card_img/20270/112card.png,17,0,1,7
111,마일리지 가온카드(대한항공),CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/113/card_img/20271/113card.png,https://api.card-gorilla.com:8080/storage/card/113/card_img/20271/113card.png,15,0,1,8
112,마일리지 가온카드(아시아나),CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/114/card_img/20272/114card.png,https://api.card-gorilla.com:8080/storage/card/114/card_img/20272/114card.png,48,0,1,2
113,굿데이올림카드,CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/115/card_img/20273/115card.png,https://api.card-gorilla.com:8080/storage/card/115/card_img/20273/115card.png,46,0,1,0
114,청춘대로카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/116/card_img/20274/116card.png,https://api.card-gorilla.com:8080/storage/card/116/card_img/20274/116card.png,6,0,1,0
115,청춘대로 티타늄 카드,CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/117/card_img/20349/117card.png,https://api.card-gorilla.com:8080/storage/card/117/card_img/20349/117card.png,2,0,1,4
116,FINETECH카드(아시아나),CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/118/card_img/24264/118card.png,https://api.card-gorilla.com:8080/storage/card/118/card_img/24264/118card.png,38,0,1,7
117,FINETECH카드(대한항공),CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/119/card_img/24263/119card.png,https://api.card-gorilla.com:8080/storage/card/119/card_img/24263/119card.png,37,0,1,5
118,ONE카드,CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/120/card_img/20352/120card.png,https://api.card-gorilla.com:8080/storage/card/120/card_img/20352/120card.png,44,0,1,6
119,다담카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/121/card_img/20353/121card.png,https://api.card-gorilla.com:8080/storage/card/121/card_img/20353/121card.png,10,0,1,7
120,모바일101카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/122/card_img/20354/122card.png,https://api.card-gorilla.com:8080/storage/card/122/card_img/20354/122card.png,4,0,1,3
121,아이행복카드(S-type),CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/123/card_img/23900/123card.png,https://api.card-gorilla.com:8080/storage/card/123/card_img/23900/123card.png,21,0,1,10
122,아이행복카드(T-type),CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/124/card_img/23901/124card.png,https://api.card-gorilla.com:8080/storage/card/124/card_img/23901/124card.png,13,0,1,7
123,E1 LPG KB국민카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/125/card_img/20355/125card.png,https://api.card-gorilla.com:8080/storage/card/125/card_img/20355/125card.png,38,0,1,5
124,아시아나 올림카드,CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/126/card_img/20356/126card.png,https://api.card-gorilla.com:8080/storage/card/126/card_img/20356/126card.png,40,0,1,8
125,청춘대로 매니아i카드,CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/127/card_img/20357/127card.png,https://api.card-gorilla.com:8080/storage/card/127/card_img/20357/127card.png,33,0,1,9
126,Liiv Mate카드,CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/128/card_img/23902/128card.png,https://api.card-gorilla.com:8080/storage/card/128/card_img/23902/128card.png,5,0,1,7
127,청춘대로 톡톡카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/129/card_img/20358/129card.png,https://api.card-gorilla.com:8080/storage/card/129/card_img/20358/129card.png,22,0,1,1
128,BeV V카드(포인트형),CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/130/card_img/20359/130card.png,https://api.card-gorilla.com:8080/storage/card/130/card_img/20359/130card.png,30,0,1,8
129,BeV V카드(스카이패스형),CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/131/card_img/20360/131card.png,https://api.card-gorilla.com:8080/storage/card/131/card_img/20360/131card.png,16,0,1,5
130,청춘대로 1코노미 카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/132/card_img/20361/132card.png,https://api.card-gorilla.com:8080/storage/card/132/card_img/20361/132card.png,37,0,1,7
131,BeV Ⅲ 카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/133/card_img/20362/133card.png,https://api.card-gorilla.com:8080/storage/card/133/card_img/20362/133card.png,26,0,1,4
132,탄탄대로 온리유카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/134/card_img/20363/134card.png,https://api.card-gorilla.com:8080/storage/card/134/card_img/20363/134card.png,29,0,1,5
133,탄탄대로 이지홈카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/135/card_img/23903/135card.png,https://api.card-gorilla.com:8080/storage/card/135/card_img/23903/135card.png,47,0,1,9
134,가온 워킹업카드,CHK,국민카드,https://api.card-gorilla.com:8080/storage/card/136/card_img/20364/136card.png,https://api.card-gorilla.com:8080/storage/card/136/card_img/20364/136card.png,15,0,1,9
135,탄탄대로 Miz&Mr카드,CRD,국민카드,https://api.card-gorilla.com:8080/storage/card/137/card_img/20365/137card.png,https://api.card-gorilla.com:8080/storage/card/137/card_img/20365/137card.png,22,0,1,10
